name,station,sensor,lat,lon,date_time,sea_water_temperature,bad_station
"Cedar Key, FL",8727520,E1,29.135,-83.0317,2015-10-24T12:00:00Z,23.5,False
"Apalachicola, FL",8728690,E1,29.7267,-84.9817,2015-10-24T12:00:00Z,23.5,False
"Panama City, FL",8729108,E1,30.1523,-85.6669,2015-10-24T12:00:00Z,23.7,False
"Panama City Beach, FL",8729210,E1,30.2133,-85.8783,2015-10-24T12:00:00Z,24.3,False
"Pensacola, FL",8729840,E1,30.4044,-87.2112,2015-10-24T12:00:00Z,21.5,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2015-00-24T12:00:00Z,23.6640701294,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2015-45-24T11:45:00Z,31.1327114105,False
"Broad River Lower, FL",enp.lbrf1.met,NA,25.4839992523,-81.111000061,2015-00-24T12:00:00Z,26.0007591248,False
"Clear Water Pass, FL ",enp.cwaf1.met,NA,25.2950000763,-81.0130004883,2015-00-24T12:00:00Z,26.6156787872,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2015-00-24T12:00:00Z,25.7415447235,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2015-00-24T12:00:00Z,25.7337627411,False
"Taylor River, FL",enp.trrf1.met,NA,25.2229995728,-80.6529998779,2015-00-24T12:00:00Z,27.5590744019,False
"Little Madeira, FL",enp.lmdf1.met,NA,25.1739997864,-80.6320037842,2015-00-24T12:00:00Z,27.0449542999,False
"Little Rabbit Key, FL",enp.lrkf1.met,NA,24.9790000916,-80.8259963989,2015-00-24T12:00:00Z,27.0412597656,False
"Peterson Key, FL",enp.pkyf1.met,NA,24.9169998169,-80.7460021973,2015-00-24T12:00:00Z,26.6650409698,False
"Highway Creek, FL",enp.hcef1.met,NA,25.2539997101,-80.4440002441,2015-00-24T12:00:00Z,26.9322052002,False
"Gunboat Island, FL",enp.gbif1.met,NA,25.3759994507,-81.0289993286,2015-00-24T12:00:00Z,26.0949611664,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",cormp.ilm2.buoy,NA,34.1333007812,-77.7166976929,2015-53-24T11:53:00Z,21.2439041138,False
Tarpon Bay station,sccf.tarponbay.wq,NA,26.4679069519,-82.0631027222,2015-00-24T12:00:00Z,25.8203468323,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2015-00-24T12:00:00Z,21.457736969,False
"Cannon Bay, FL",enp.cnbf1.met,NA,25.7000007629,-81.1859970093,2015-00-24T12:00:00Z,26.6343688965,False
"Murray Key, FL",enp.mukf1.met,NA,25.1040000916,-80.9420013428,2015-00-24T12:00:00Z,26.6121025085,False
"Blackwater Sound, FL",enp.bwsf1.met,NA,25.1770000458,-80.43800354,2015-00-24T12:00:00Z,26.8469467163,False
"Butternut Key, FL",enp.bnkf1.met,NA,25.0869998932,-80.5189971924,2015-00-24T12:00:00Z,26.6605873108,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2015-00-24T12:00:00Z,25.6952915192,False
"Whipray Basin, FL",enp.wrbf1.met,NA,25.0769996643,-80.7279968262,2015-00-24T12:00:00Z,27.488407135,False
"Garfield Bight, FL",enp.gbtf1.met,NA,25.1700000763,-80.7969970703,2015-00-24T12:00:00Z,27.5118637085,False
"Little Blackwater, FL",enp.lbsf1.met,NA,25.2119998932,-80.4329986572,2015-00-24T12:00:00Z,26.8613529205,False
"Lane River, FL ",enp.lrif1.met,NA,25.2840003967,-80.8939971924,2015-00-24T12:00:00Z,26.9791603088,False
"Trout Cove, FL",enp.tcvf1.met,NA,25.2089996338,-80.5329971313,2015-00-24T12:00:00Z,27.12266922,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2015-00-24T12:00:00Z,18.5200805664,False
"White Water -West, FL",enp.wwef1.met,NA,25.2299995422,-80.9390029907,2015-00-24T12:00:00Z,26.8426265717,False
"Duck Key, FL",enp.dkkf1.met,NA,25.1800003052,-80.4899978638,2015-00-24T12:00:00Z,26.4794006348,False
"CORMP ILM3, Wrightsville Beach Offshore, NC",cormp.ilm3.buoy,NA,33.9878005981,-77.3635025024,2015-08-24T12:08:00Z,22.9015274048,False
"Broad River, FL",enp.bdvf1.met,NA,25.4759998322,-80.9899978638,2015-00-24T12:00:00Z,26.4052963257,False
"Willy Willy, FL",enp.wiwf1.met,NA,25.6189994812,-81.0439987183,2015-00-24T12:00:00Z,25.9434452057,False
"Cane Patch, FL",enp.canf1.met,NA,25.4200000763,-80.9430007935,2015-00-24T12:00:00Z,26.0277137756,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2015-35-24T11:35:00Z,-363.570007324,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2015-08-24T12:08:00Z,13.9587421417,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2015-00-24T12:00:00Z,25.1851100922,False
"Bob Allen, FL",enp.bobf1.met,NA,25.0240001678,-80.6819992065,2015-00-24T12:00:00Z,27.03008461,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2015-08-24T12:08:00Z,21.6631717682,False
"Johnson Key, FL",enp.jkyf1.met,NA,25.0499992371,-80.9039993286,2015-00-24T12:00:00Z,27.1037845612,False
